Time(s)	Position(mm)
26.6199	45.394998
26.6819	45.388457
26.7451	45.382556
26.8076	45.376047
26.8703	45.370188
26.9319	45.363357
26.9953	45.357727
27.0613	45.350896
27.1209	45.344377
27.1826	45.338528
27.2447	45.331716
27.3073	45.326118
27.3677	45.320208
27.4298	45.313687
27.4933	45.307808
27.5550	45.301287
27.6177	45.295356
27.6817	45.288547
27.7441	45.282026
27.8068	45.276128
27.8686	45.269626
27.9303	45.263718
27.9926	45.257798
28.0563	45.251296
28.1188	45.245427
28.1800	45.238928
28.2426	45.232976
28.3053	45.226147
28.3666	45.220557
28.4290	45.213738
28.4911	45.208157
28.5544	45.201348
28.6166	45.194517
28.6784	45.188887
28.7406	45.182998
28.8030	45.176487
28.8646	45.170588
28.9265	45.164058
28.9862	45.158176
29.0481	45.152297
29.1101	45.145767
29.1742	45.139827
29.2358	45.133328
29.2976	45.127456
29.3591	45.120657
29.4217	45.115037
29.4837	45.108208
29.5447	45.102607
29.6079	45.095786
29.6701	45.090198
29.7324	45.083386
29.7944	45.077456
29.8573	45.070938
29.9210	45.065056
29.9835	45.058538
30.0455	45.052627
30.1097	45.045828
30.1700	45.039297
30.2332	45.033396
30.2953	45.026887
30.3578	45.021008
30.4205	45.015068
30.4849	45.008547
30.5456	45.001738
30.6072	44.996147
30.6691	44.990256
30.7308	44.983428
30.7920	44.977798
30.8539	44.970986
30.9157	44.965427
30.9773	44.959507
31.0389	44.952976
31.1011	44.947117
31.1634	44.940288
31.2256	44.934697
31.2886	44.927888
31.3524	44.921357
31.4153	44.915447
31.4783	44.908647
31.5405	44.903098
31.6036	44.896248
31.6662	44.890618
31.7286	44.883806
31.7909	44.877927
31.8533	44.871406
31.9150	44.865537
31.9767	44.859016
32.0383	44.853066
32.1005	44.846267
32.1628	44.840708
32.2260	44.834807
32.2878	44.828267
32.3514	44.821467
32.4140	44.815867
32.4767	44.809038
32.5388	44.803176
32.6005	44.796658
32.6632	44.790728
32.7266	44.784207
32.7870	44.778337
32.8501	44.771497
32.9131	44.765886
32.9756	44.759097
33.0373	44.753486
33.0993	44.746687
33.1617	44.740808
33.2254	44.734297
33.2896	44.728337
33.3508	44.721816
33.4127	44.715967
33.4750	44.709158
33.5370	44.703547
33.5986	44.696738
33.6610	44.691118
33.7239	44.684277
33.7870	44.678706
33.8488	44.671917
33.9129	44.665986
33.9766	44.659458
34.0397	44.652637
34.1012	44.647068
34.1643	44.640227
34.2282	44.634358
34.2903	44.627837
34.3509	44.621907
34.4134	44.615408
34.4758	44.609536
34.5382	44.602708
34.6010	44.597087
34.6623	44.590278
34.7248	44.584668
34.7907	44.577856
34.8498	44.571978
34.9115	44.565457
34.9737	44.559507
35.0366	44.552998
35.0995	44.547136
35.1631	44.540327
35.2252	44.534717
35.2867	44.527898
35.3492	44.522278
35.4105	44.515447
35.4735	44.509868
35.5372	44.503066
35.5993	44.497136
35.6619	44.490608
35.7255	44.484727
35.7891	44.478218
35.8511	44.471396
35.9135	44.465508
35.9748	44.458977
36.0357	44.453076
36.0973	44.447507
36.1594	44.440686
36.2226	44.434746
36.2851	44.428228
36.3486	44.422356
36.4113	44.415857
36.4738	44.409968
36.5365	44.403137
36.5978	44.396606
36.6604	44.390676
36.7227	44.384167
36.7860	44.378296
36.8500	44.371497
36.9110	44.365876
36.9729	44.359968
37.0365	44.353467
37.0988	44.346658
37.1620	44.341057
37.2246	44.334248
37.2872	44.328337
37.3501	44.321816
37.4115	44.315928
37.4750	44.309426
37.5380	44.303496
37.5998	44.296707
37.6619	44.291106
37.7239	44.284297
37.7870	44.278706
37.8513	44.271887
37.9131	44.265957
37.9754	44.259436
38.0383	44.253586
38.1017	44.247078
38.1633	44.240266
38.2264	44.234348
38.2897	44.227817
38.3518	44.221926
38.4133	44.215408
38.4740	44.209568
38.5377	44.202737
38.5984	44.197097
38.6604	44.191206
38.7226	44.184688
38.7847	44.178787
38.8468	44.172268
38.9093	44.166367
38.9722	44.159558
39.0355	44.153057
39.0983	44.147158
39.1618	44.140657
39.2230	44.134727
39.2854	44.127917
39.3469	44.122336
39.4096	44.116438
39.4720	44.109897
39.5333	44.103066
39.5958	44.097146
39.6590	44.090647
39.7204	44.084778
39.7826	44.078276
39.8465	44.072336
39.9098	44.065508
39.9725	44.059907
40.0407	44.053108
40.0962	44.046606
40.1596	44.040728
40.2213	44.035098
40.2835	44.028276
40.3460	44.022397
40.4077	44.015876
40.4702	44.009978
40.5336	44.003447
40.5945	43.997566
40.6564	43.991677
40.7202	43.985146
40.7859	43.978328
40.8446	43.971797
40.9075	43.965867
40.9706	43.960007
41.0333	43.953486
41.0953	43.947578
41.1570	43.941038
41.2180	43.935117
41.2794	43.928308
41.3426	43.922747
41.4057	43.916797
41.4668	43.910276
41.5277	43.904387
41.5893	43.897866
41.6506	43.891948
41.7119	43.886038
41.7746	43.879536
41.8360	43.873667
41.8992	43.867168
